symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
AAPL,1998-03-09,0.212054,0.217076,0.200893,0.203125,0.175528,574929600.0,574929600.0,-0.00893,-4.211,0.20703,March 09, 98,-0.04211
AAPL,1998-03-06,0.21317,0.21875,0.208705,0.218192,0.188548,666467200.0,666467200.0,0.00502,2.355,0.21522,March 06, 98,0.02355
AAPL,1998-03-05,0.207589,0.216518,0.206473,0.214844,0.185655,675124800.0,675124800.0,0.00726,3.497,0.21261,March 05, 98,0.03497
AAPL,1998-03-04,0.204241,0.220982,0.204241,0.218192,0.188548,817824000.0,817824000.0,0.01395,6.83,0.21447,March 04, 98,0.0683
AAPL,1998-03-03,0.195313,0.207031,0.19308,0.206473,0.178422,334073600.0,334073600.0,0.01116,5.714,0.20219,March 03, 98,0.05714
AAPL,1998-03-02,0.210379,0.210379,0.198661,0.203125,0.175528,400444800.0,400444800.0,-0.00725,-3.446,0.20406,March 02, 98,-0.03446
AAPL,1998-02-27,0.208147,0.21317,0.201451,0.210938,0.182279,519601600.0,519601600.0,0.00279,1.34,0.20852,February 27, 98,0.0134
AAPL,1998-02-26,0.199219,0.210379,0.195313,0.209821,0.181315,595134400.0,595134400.0,0.0106,5.321,0.20517,February 26, 98,0.05321
AAPL,1998-02-25,0.19029,0.203125,0.186942,0.199219,0.172153,712667200.0,712667200.0,0.00893,4.693,0.19643,February 25, 98,0.04693
AAPL,1998-02-24,0.19029,0.190848,0.185268,0.19029,0.164437,456590400.0,456590400.0,0.0,0.0,0.1888,February 24, 98,0.0
AAPL,1998-02-23,0.179688,0.19308,0.178571,0.189732,0.163955,477489600.0,477489600.0,0.01004,5.587,0.18713,February 23, 98,0.05587
AAPL,1998-02-20,0.183036,0.183594,0.176897,0.178571,0.154311,325416000.0,325416000.0,-0.00446,-2.437,0.17969,February 20, 98,-0.02437
AAPL,1998-02-19,0.186384,0.186942,0.178571,0.182478,0.157686,399660800.0,399660800.0,-0.00391,-2.098,0.18266,February 19, 98,-0.02098
AAPL,1998-02-18,0.174665,0.185268,0.174665,0.183594,0.158651,494592000.0,494592000.0,0.00893,5.113,0.18118,February 18, 98,0.05113
AAPL,1998-02-17,0.174107,0.176339,0.174107,0.175223,0.151417,182750400.0,182750400.0,0.00112,0.643,0.17522,February 17, 98,0.00643
AAPL,1998-02-13,0.171317,0.177455,0.169643,0.174107,0.150453,207995200.0,207995200.0,0.00279,1.629,0.17373,February 13, 98,0.01629
AAPL,1998-02-12,0.170759,0.173549,0.170201,0.172991,0.149488,203750400.0,203750400.0,0.00223,1.306,0.17225,February 12, 98,0.01306
AAPL,1998-02-11,0.174107,0.174107,0.168527,0.169643,0.146595,211668800.0,211668800.0,-0.00446,-2.562,0.17076,February 11, 98,-0.02562
AAPL,1998-02-10,0.170759,0.174665,0.170201,0.173549,0.149971,422016000.0,422016000.0,0.00279,1.634,0.17281,February 10, 98,0.01634
AAPL,1998-02-09,0.164063,0.174107,0.164063,0.171317,0.148042,494670400.0,494670400.0,0.00725,4.419,0.16983,February 09, 98,0.04419
AAPL,1998-02-06,0.164063,0.166853,0.162946,0.165179,0.142737,202339200.0,202339200.0,0.00112,0.683,0.16499,February 06, 98,0.00683
AAPL,1998-02-05,0.162946,0.165179,0.160714,0.163504,0.141291,238268800.0,238268800.0,0.00056,0.344,0.16313,February 05, 98,0.00344
AAPL,1998-02-04,0.161272,0.165179,0.160714,0.162946,0.140808,170195200.0,170195200.0,0.00167,1.036,0.16295,February 04, 98,0.01036
AAPL,1998-02-03,0.157924,0.166295,0.157924,0.163504,0.141291,402617600.0,402617600.0,0.00558,3.533,0.16257,February 03, 98,0.03533
AAPL,1998-02-02,0.165179,0.165179,0.155134,0.157924,0.136468,636742400.0,636742400.0,-0.00725,-4.389,0.15941,February 02, 98,-0.04389
AAPL,1998-01-30,0.163504,0.168527,0.162946,0.163504,0.141291,162444800.0,162444800.0,0.0,0.0,0.16499,January 30, 98,0.0
AAPL,1998-01-29,0.169085,0.170759,0.165179,0.165179,0.142737,211881600.0,211881600.0,-0.00391,-2.312,0.16704,January 29, 98,-0.02312
AAPL,1998-01-28,0.171317,0.172991,0.166295,0.171317,0.148042,151121600.0,151121600.0,0.0,0.0,0.1702,January 28, 98,0.0
AAPL,1998-01-27,0.171317,0.175781,0.169643,0.170759,0.147559,112235200.0,112235200.0,-0.00056,-0.327,0.17206,January 27, 98,-0.00327
