label,high,low,open,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime
94.809998,94.904999,93.480003,93.709999,94.639359,121214000.0,121214000.0,1.1,1.174,94.39833,0.01174
92.614998,92.970001,89.144997,90.987503,92.448311,185438800.0,185438800.0,1.62749,1.789,91.57667,0.01789
92.845001,97.077499,92.010002,96.997498,92.677902,197004400.0,197004400.0,-4.1525,-4.281,93.9775,-0.04281
97.272499,97.974998,96.602501,96.692497,97.097435,89001600.0,89001600.0,0.58,0.6,97.28333,0.006
97.0,99.25,96.7425,99.172501,96.825424,103646000.0,103646000.0,-2.1725,-2.191,97.66417,-0.02191
98.357498,98.5,96.0625,96.417503,98.180481,90318000.0,90318000.0,1.94,2.012,97.64,0.02012
96.327499,97.147499,95.839996,96.987503,96.154129,92186800.0,92186800.0,-0.66,-0.681,96.43833,-0.00681
96.522499,97.404999,95.904999,96.5625,96.348778,110577600.0,110577600.0,-0.04,-0.041,96.61083,-0.00041
97.724998,99.247498,96.489998,98.989998,97.549118,153198000.0,153198000.0,-1.265,-1.278,97.82083,-0.01278
97.057503,97.254997,93.877502,94.839996,96.88282,170989200.0,170989200.0,2.21751,2.338,96.06333,0.02338
95.477501,99.955002,95.2575,97.264999,95.305664,191649200.0,191649200.0,-1.7875,-1.838,96.89667,-0.01838
95.919998,95.980003,94.705002,95.334999,95.747368,90257200.0,90257200.0,0.585,0.614,95.535,0.00614
95.752502,96.317497,94.672501,96.262497,95.58017,125642800.0,125642800.0,-0.50999,-0.53,95.58083,-0.0053
95.342499,95.375,94.089996,94.18,95.170906,117092000.0,117092000.0,1.1625,1.234,94.93583,0.01234
93.172501,94.654999,93.057503,93.852501,93.004814,112424400.0,112424400.0,-0.68,-0.725,93.62833,-0.00725
93.462502,93.945,92.467499,92.5,93.294289,118655600.0,118655600.0,0.9625,1.041,93.29167,0.01041
91.027496,92.6175,90.910004,91.962502,90.86367,114041600.0,114041600.0,-0.93501,-1.017,91.51833,-0.01017
91.027496,91.839996,90.977501,91.279999,90.86367,110737200.0,110737200.0,-0.2525,-0.277,91.28166,-0.00277
91.199997,91.495003,90.0,90.019997,91.035858,140223200.0,140223200.0,1.18,1.311,90.89833,0.01311
90.445,90.542503,87.82,88.3125,90.282219,130646000.0,130646000.0,2.1325,2.415,89.6025,0.02415
88.407501,91.330002,88.254997,91.102501,88.24839,205256800.0,205256800.0,-2.695,-2.958,89.33083,-0.02958
91.209999,91.25,89.392502,90.175003,91.045845,137522400.0,137522400.0,1.035,1.148,90.6175,0.01148
90.014999,92.197502,89.629997,91.25,89.852997,192623200.0,192623200.0,-1.235,-1.353,90.61417,-0.01353
91.6325,93.095001,90.567497,91.0,91.467583,212155600.0,212155600.0,0.6325,0.695,91.765,0.00695
89.717499,89.864998,87.787498,87.834999,89.55603,135445200.0,135445200.0,1.8825,2.143,89.12333,0.02143
87.43,89.139999,86.287498,88.660004,87.272644,264476000.0,264476000.0,-1.23,-1.387,87.61917,-0.01387
87.932503,88.362503,87.305,87.852501,87.774246,96820400.0,96820400.0,0.08,0.091,87.86667,0.00091
87.897499,88.849998,87.772499,88.787498,87.739304,114406400.0,114406400.0,-0.89,-1.002,88.17333,-0.01002
88.019997,88.300003,86.18,87.864998,87.86158,165428800.0,165428800.0,0.155,0.176,87.5,0.00176
85.747498,86.419998,83.144997,83.3125,85.59317,138808800.0,138808800.0,2.435,2.923,85.10416,0.02923
84.699997,86.949997,83.555,86.18,84.547554,200146000.0,200146000.0,-1.48,-1.717,85.06833,-0.01717
83.974998,87.764999,83.870003,87.327499,83.82386,201662400.0,201662400.0,-3.3525,-3.839,85.20333,-0.03839
88.209999,88.692497,86.522499,86.974998,88.051239,166651600.0,166651600.0,1.235,1.42,87.80833,0.0142
